"","Code","Date","Time.x","Day","Station","Min Delay","Min Gap","Bound","Line","Vehicle","Code Description","Hour","Time Category","datetime","datetime_floor","Time.y","temperature_2m","precipitation"
"13806","PUOPO",2024-05-07,18:46:00,"Tuesday","QUEEN STATION",3,6,"S","YU",5676,"OPTO (COMMS) Train Door Monitoring",18,"Peak",NA,NA,"18:00",9.3,0
"13807","PUOPO",2024-01-19,07:10:00,"Friday","OSGOODE STATION",0,0,"N","YU",5726,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",-5.4,0
"13808","PUOPO",2024-07-24,17:17:00,"Wednesday","DUNDAS STATION",6,9,"N","YU",5691,"OPTO (COMMS) Train Door Monitoring",17,"Peak",NA,NA,"17:00",21.1,0
"13809","PUOPO",2024-06-28,18:08:00,"Friday","VAUGHAN MC STATION",0,0,"S","YU",5646,"OPTO (COMMS) Train Door Monitoring",18,"Peak",NA,NA,"18:00",17.9,0
"13810","PUOPO",2024-06-19,11:18:00,"Wednesday","YORK UNIVERSITY STATIO",3,8,"S","YU",5616,"OPTO (COMMS) Train Door Monitoring",11,"Non-Peak",NA,NA,"11:00",16.1,0
"13811","PUOPO",2024-07-06,06:59:00,"Saturday","HIGHWAY 407 STATION",6,12,"S","YU",5911,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",20.7,0
"13812","PUOPO",2024-01-11,11:54:00,"Thursday","DUNDAS STATION",0,0,"S","YU",5601,"OPTO (COMMS) Train Door Monitoring",11,"Non-Peak",NA,NA,"11:00",1.4,0
"13813","PUOPO",2024-06-24,19:59:00,"Monday","DUNDAS STATION",0,0,"S","YU",5591,"OPTO (COMMS) Train Door Monitoring",19,"Non-Peak",NA,NA,"19:00",22.1,0
"13814","PUOPO",2024-11-14,13:47:00,"Thursday","COLLEGE STATION",0,0,"S","YU",5516,"OPTO (COMMS) Train Door Monitoring",13,"Non-Peak",NA,NA,"13:00",7.8,0
"13815","PUOPO",2024-05-06,20:10:00,"Monday","ST PATRICK STATION",0,0,"S","YU",5871,"OPTO (COMMS) Train Door Monitoring",20,"Non-Peak",NA,NA,"20:00",9.8,0
"13816","PUOPO",2024-09-05,16:14:00,"Thursday","FINCH STATION",0,0,"S","YU",5956,"OPTO (COMMS) Train Door Monitoring",16,"Peak",NA,NA,"16:00",19.8,0
"13817","PUOPO",2024-11-07,16:41:00,"Thursday","QUEEN STATION",0,0,"S","YU",6026,"OPTO (COMMS) Train Door Monitoring",16,"Peak",NA,NA,"16:00",10.4,0
"13818","PUOPO",2024-10-28,14:15:00,"Monday","DAVISVILLE STATION",0,0,"N","YU",5411,"OPTO (COMMS) Train Door Monitoring",14,"Non-Peak",NA,NA,"14:00",9.1,0.1
"13819","PUOPO",2024-04-19,07:08:00,"Friday","DUNDAS STATION",0,0,"S","YU",6086,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",5.6,0
"13820","PUOPO",2024-07-06,15:08:00,"Saturday","ROSEDALE STATION",0,0,"N","YU",5646,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",19.2,0
"13821","PUOPO",2024-01-24,12:30:00,"Wednesday","COLLEGE STATION",10,15,"S","YU",5796,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",2.1,0
"13822","PUOPO",2024-03-26,06:11:00,"Tuesday","QUEEN'S PARK STATION",0,0,"S","YU",5486,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",4.8,0
"13823","PUOPO",2024-03-20,12:57:00,"Wednesday","HIGHWAY 407 STATION",5,10,"S","YU",5481,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",0.1,0.2
"13824","PUOPO",2024-05-23,10:42:00,"Thursday","LAWRENCE STATION",0,0,"N","YU",6016,"OPTO (COMMS) Train Door Monitoring",10,"Non-Peak",NA,NA,"10:00",12.4,0
"13825","PUOPO",2024-09-09,08:42:00,"Monday","WELLESLEY STATION",4,6,"S","YU",5641,"OPTO (COMMS) Train Door Monitoring",8,"Peak",NA,NA,NA,NA,NA
"13826","PUOPO",2024-01-16,13:46:00,"Tuesday","DON MILLS STATION",9,16,"W","SHP",6161,"OPTO (COMMS) Train Door Monitoring",13,"Non-Peak",NA,NA,"13:00",-7.8,0.3
